Time - Voltage	Amplitude - Voltage
1.053223	-3.4954
1.053711	-2.06956
1.054199	0.0551776
1.054687	2.15304
1.055176	3.49946
1.055664	3.62765
1.056152	2.49532
1.056641	0.497236
1.057129	-1.68551
1.057617	-3.30102
1.058105	-3.78787
1.058594	-2.97811
1.059082	-1.15766
1.05957	1.04998
1.060059	2.89012
1.060547	3.72119
1.061035	3.25823
1.061523	1.66458
1.062012	-0.510918
1.0625	-2.52512
1.062988	-3.68065
1.063477	-3.57572
1.063965	-2.2499
1.064453	-0.163564
1.064941	1.97114
1.06543	3.41749
1.065918	3.67324
1.066406	2.65341
1.066895	0.712504
1.067383	-1.48518
1.067871	-3.18536
1.068359	-3.79804
1.068848	-3.10915
1.069336	-1.36353
1.069824	0.839706
1.070312	2.74649
1.070801	3.69589
1.071289	3.35894
1.071777	1.85664
1.072266	-0.293331
1.072754	-2.35705
1.073242	-3.62016
1.07373	-3.64387
1.074219	-2.4232
1.074707	-0.381978
1.075195	1.78155
1.075684	3.32303
1.076172	3.70703
1.07666	2.80212
1.077148	0.925406
1.077637	-1.28124
1.078125	-3.06107
1.078613	-3.79597
1.079102	-3.23063
1.07959	-1.5658
1.080078	0.6255
1.080566	2.59416
1.081055	3.65861
1.081543	3.44898
1.082031	2.04281
1.08252	-0.0743291
1.083008	-2.18012
1.083496	-3.54765
1.083984	-3.69992
1.084473	-2.58846
1.084961	-0.59893
1.085449	1.58678
1.085937	3.21798
1.086426	3.72781
1.086914	2.9414
1.087402	1.13553
1.087891	-1.07281
1.088379	-2.92572
1.088867	-3.7807
1.089355	-3.34102
1.089844	-1.76333
1.090332	0.408732
1.09082	2.43238
1.091309	3.60781
1.091797	3.52682
1.092285	2.22193
1.092773	0.142547
1.093262	-1.99693
